Soils_ID,Nitrogen,Phosphorus,Potassium,PH,Soil_moisture,Soil_type_ID,Organic_matter
1,90,42,43,6.502985292,29.44606392,1,3.121394502
2,85,58,41,7.038096361,12.85118264,3,2.142020929
3,60,55,44,7.840207144,29.36391289,1,1.474973725
4,74,35,40,6.980400905,26.20773239,3,8.393907172
5,78,42,42,7.628472891,28.23623614,1,5.202285435
6,69,37,42,7.073453503,23.6131152,3,5.958483178
7,69,55,38,5.70080568,15.33369311,1,7.389915833
8,94,53,40,5.718627178,20.83564048,3,1.24207269
9,89,54,38,6.685346424,26.64065577,1,8.821774607
10,68,58,38,6.336253525,24.36885292,3,4.241706392
11,91,53,40,5.386167788,20.45914574,1,7.686282486
12,90,46,42,7.50283396,15.40460045,1,3.312374646
13,78,58,44,5.108681786,15.69649076,2,6.142806339
14,93,56,36,6.98435366,18.10229956,3,3.208669384
15,94,50,37,6.94801983,19.74252283,1,1.153833076
16,60,48,39,7.042299069,23.34511451,2,8.705518065
17,85,38,41,6.249050656,12.28784301,2,8.550569187
18,91,35,39,6.970859754,20.50552905,1,5.083744267
19,77,38,36,5.953933276,19.86297771,3,3.287939301
20,88,35,40,5.85393208,25.75100657,2,8.82668821
21,89,45,36,6.442475375,17.85095579,2,8.13725488
22,76,40,43,5.070175667,16.92544358,1,3.757578539
23,67,59,41,6.012632591,13.92858977,3,4.941116717
24,83,41,43,6.254028451,15.05407997,2,5.154205084
25,98,47,37,7.375482851,21.66550159,3,2.524754582
26,66,53,41,7.778915154,13.74174686,1,7.417834013
27,97,59,43,6.286500176,25.52548814,2,2.317210391
28,97,50,41,7.070959995,16.9004053,2,4.229277117
29,60,49,44,6.244841491,14.07087343,2,6.409720868
30,84,51,35,6.043304899,12.41872293,3,4.852641177
31,73,57,41,5.824709117,24.03853195,1,2.374012772
32,92,35,40,6.357389366,11.7866641,1,1.161099445
33,85,37,39,6.364134968,18.58080281,2,4.719268903
34,98,53,38,5.01450727,12.17300694,3,8.659881716
35,88,54,44,6.149410611,23.33402741,3,5.11838527
36,95,55,42,5.950660556,23.97882826,3,2.860604798
37,99,57,35,5.960370061,20.46341223,2,9.040013386
38,95,39,36,5.561398642,18.19548534,1,2.371505551
39,60,43,44,7.416245107,19.47400022,3,6.184190584
40,63,44,41,5.583370042,10.47032305,3,5.191292846
41,62,42,36,6.430010215,19.71000774,2,8.748923932
42,64,45,43,5.534878156,17.24189818,1,2.60189034
43,83,60,36,6.903985986,23.53223556,3,8.410945628
44,82,40,40,6.271478838,22.69162021,2,7.030883615
45,85,52,45,7.224285503,10.92493977,2,1.81436486
46,91,35,38,6.13428721,14.65936235,2,4.84693238
47,76,49,42,5.206373153,15.67275092,3,6.422222477
48,74,39,38,7.782051313,20.81748306,3,2.514791434
49,79,43,39,7.062779015,16.43493596,2,4.293714527
50,88,55,45,7.730367824,14.83400006,3,1.705943298
51,60,36,43,5.286203711,24.81219877,2,2.264515487
52,76,60,39,6.766240045,10.90775604,1,9.711797807
