Weathers_ID,Temperature,Humidity,Rainfall,Sunlight_exposure,Wind_speed,CO2_concentration,Frost_risk
1,20.87974371,82.00274423,202.9355362,8.677355267,10.10987524,435.6112257,95.64998537
2,21.77046169,80.31964408,226.6555374,5.754287955,12.0480498,401.4518597,77.26569366
3,23.00445915,82.3207629,263.9642476,9.875230096,9.051348913,357.4179627,18.19216786
4,26.49109635,80.15836264,242.8640342,8.023684684,7.963606057,363.6943055,82.81872017
5,20.13017482,81.60487287,262.7173405,8.120511883,19.26413342,410.3564578,25.46649893
6,23.05804872,83.37011772,251.0549998,10.87376757,2.728812125,428.7284297,43.4263343
7,22.70883798,82.63941394,271.3248604,8.726839861,4.715023587,398.3170076,50.01897066
8,20.27774362,82.89408619,241.9741949,10.71988714,6.627556794,379.8472815,18.08996233
9,24.51588066,83.5352163,230.4462359,11.60018564,7.309391591,446.3333844,98.37740877
10,23.22397386,83.03322691,221.2091958,6.413153903,15.39584598,377.3990152,63.33575198
11,26.52723513,81.41753846,264.6148697,6.432884823,18.24128231,397.4717144,0.803006839
12,23.97898217,81.45061596,250.0832336,8.554866438,3.533521192,387.8389578,79.21176901
13,26.80079604,80.88684822,284.4364567,5.962473079,7.896438823,359.0427953,26.72412345
14,24.01497622,82.05687182,185.2773389,10.50916478,4.249812524,439.9141829,12.45162811
15,25.66585205,80.66385045,209.5869708,7.613462956,3.925950761,431.6839323,30.71243536
16,24.28209415,80.30025587,231.0863347,10.16869787,13.21430558,386.1428305,50.39889549
17,21.58711777,82.7883708,276.6552459,10.74800154,18.99798489,435.4804752,38.68300439
18,23.79391957,80.41817957,206.2611855,8.914357979,5.605837158,362.0769125,77.8685813
19,21.8652524,80.1923008,224.5550169,9.604758002,15.03754499,449.0999824,83.16991783
20,23.57943626,83.58760316,291.2986618,5.156131899,11.96692269,387.8451723,49.8345872
21,21.32504158,80.47476396,185.4974732,11.30220544,2.568028918,386.9120486,3.070325599
22,25.15745531,83.11713476,231.3843163,7.193711118,16.94274791,380.1545777,94.38189733
23,21.94766735,80.97384195,213.3560921,8.401741241,17.44435849,427.3210034,15.47295956
24,21.0525355,82.67839517,233.1075816,8.353858331,1.028665973,422.1631804,20.14047265
25,23.48381344,81.33265073,224.0581164,11.40035147,7.178125231,387.1073931,77.15182534
26,25.0756354,80.52389148,257.0038865,8.232858165,1.290206775,434.992243,75.12350816
27,26.35927159,84.04403589,271.3586137,5.029698818,12.95701828,354.2222342,80.56353349
28,24.52922681,80.54498576,260.2634026,7.130601916,16.28584016,387.0109983,29.00824791
29,20.77576147,84.49774397,240.0810647,8.205569589,18.85925311,382.4049654,24.07910119
30,22.30157427,80.64416466,197.9791215,6.495707285,13.90703852,385.5906802,49.51670997
31,21.44653958,84.94375962,272.2017204,7.395417364,15.97704743,409.1350759,72.29219082
32,22.17931888,80.33127223,200.0882787,7.827432568,19.20583481,449.7528367,87.23012612
33,24.52783742,82.73685569,224.6757231,10.6819306,3.936908658,440.5935604,11.03028122
34,20.26707606,81.63895217,270.4417274,7.411662488,5.978189569,437.3522818,41.05329142
35,25.7354293,83.88266234,233.1321372,11.43579541,1.123597348,428.4370764,71.067332
36,26.79533926,82.1480873,193.3473987,11.40265471,14.23982333,440.2770547,87.44669458
37,26.75754171,81.17734011,272.2999056,6.2885136,15.68068087,414.9543244,97.66742866
38,23.86330467,83.15250801,285.2493645,9.659394559,5.915009783,423.024884,6.852675925
39,21.01944696,82.95221726,298.4018471,10.17381099,5.61442073,381.3204769,21.14630519
40,24.17298839,83.7287574,257.0343554,6.112574761,11.56093912,446.1576904,42.2270814
41,22.78133816,82.06719137,248.7183228,10.66513992,16.50816322,415.2461743,6.113864054
42,25.62980105,83.52842314,209.9001977,10.91225501,5.994164682,428.6996406,47.30819505
